"sample"	"score"
"TGL49_0064_Cf_U_PE_322_WG"	-0.787857737816538
"TGL49_0065_Cf_n_PE_398_WG"	-0.532286986721698
"TGL49_0065_Cf_U_PE_317_WG"	-0.60678780282972
"TGL49_0066_Cf_U_PE_324_WG"	-0.551739190114132
"TGL49_0067_Cf_U_PE_317_WG"	-0.564336736888791
"TGL49_0068_Cf_U_PE_323_WG"	-0.704384465165914
"TGL49_0087_Cf_U_PE_321_WG"	-0.727568090752729
"TGL49_0092_Cf_U_PE_328_WG"	-0.712488793613207
"TGL49_0097_Cf_U_PE_325_WG"	-0.67378654005255
"TGL49_0098_Cf_U_PE_324_WG"	-0.59851087271389
"TGL49_0102_Cf_U_PE_325_WG"	-0.634836074066138
"TGL49_0103_Cf_U_PE_324_WG"	-0.64144570379636
"TGL49_0103_Pb_n_PE_313_WG"	-0.525264729834461
"TGL49_0103_Pb_n_PE_402_WG"	-0.579956456889587
"TGL49_0105_Cf_U_PE_324_WG"	-0.827677278076013
"TGL49_0106_Cf_U_PE_325_WG"	-0.793986323280113
"TGL49_0107_Cf_U_PE_324_WG"	-0.591301882690487
"TGL49_0109_Cf_U_PE_320_WG"	-0.584648848066888
"TGL49_0110_Cf_U_PE_331_WG"	-0.68533150763011
"TGL49_0111_Cf_U_PE_330_WG"	-0.651325564551452
"TGL49_0113_Cf_U_PE_328_WG"	-0.625538063340328
"TGL49_0115_Cf_U_PE_325_WG"	-0.658640549708001
"TGL49_0117_Cf_U_PE_326_WG"	-0.708148836342601
"TGL49_0119_Cf_U_PE_318_WG"	-0.698840261158963
"TGL49_0119_Cf_U_PE_323_WG"	-0.470043586892318
"TGL49_0121_Cf_U_PE_323_WG"	-0.711755327486392
"TGL49_0123_Cf_U_PE_325_WG"	-0.598646834408733
"TGL49_0125_Cf_U_PE_331_WG"	-0.694190559126973
"TGL49_0126_Cf_U_PE_321_WG"	-0.407681093895615
"TGL49_0126_Cf_U_PE_323_WG"	-0.48095380809861
"TGL49_0127_Cf_U_PE_320_WG"	-0.504696300893147
"TGL49_0127_Cf_U_PE_322_WG"	-0.635921470401038
"TGL49_0130_Cf_U_PE_323_WG"	-0.602701800639431
"TGL49_0131_Cf_U_PE_324_WG"	-0.584875927762838
"TGL49_0133_Cf_U_PE_320_WG"	-0.481465713282327
"TGL49_0134_Cf_U_PE_321_WG"	-0.682829906609904
"TGL49_0209_Cf_U_PE_373_WG"	-0.403773242379952
"TGL49_0210_Cf_n_PE_348_WG"	-0.455716455521433
"TGL49_0210_Cf_U_PE_382_WG"	-0.611782625614392
"TGL49_0211_Cf_n_PE_365_WG"	-0.563105419847604
"TGL49_0211_Cf_U_PE_355_WG"	-0.553264107928997
"TGL49_0212_Cf_U_PE_352_WG"	-0.310057721346331
"TGL49_0213_Cf_n_PE_350_WG"	-0.499425530088151
"TGL49_0213_Cf_n_PE_372_WG"	-0.704484037827319
"TGL49_0213_Cf_U_PE_346_WG"	-0.446370233315324
"TGL49_0214_Cf_n_PE_366_WG"	-0.551133812140393
"TGL49_0215_Cf_n_PE_387_WG"	-0.837519479933687
"TGL49_0216_Cf_n_PE_483_WG"	-0.480655224014265
"TGL49_0217_Cf_n_PE_622_WG"	-0.634651139902663
"TGL49_0218_Cf_n_PE_378_WG"	-0.595680397041101
"TGL49_0219_Cf_n_PE_381_WG"	-0.69260481329274
"TGL49_0220_Cf_n_PE_372_WG"	-0.478414881621325
"TGL49_0221_Cf_n_PE_376_WG"	-0.654315070458647
"TGL49_0222_Cf_n_PE_374_WG"	-0.709202619507193
"TGL49_0223_Cf_n_PE_394_WG"	-0.540868509921792
"TGL49_0315_Cf_n_PE_390_WG"	-0.545087558562346
"TGL49_0316_Cf_n_PE_389_WG"	-0.700955147244958
"TGL49_0319_Cf_n_PE_383_WG"	-0.400611298597829
"TGL49_0319_Cf_n_PE_3830_WG"	-0.562657797446097
"TGL49_0322_Cf_n_PE_373_WG"	-0.726498970238834
"TGL49_0322_Cf_n_PE_413_WG"	-0.708480758470569
"TGL49_0326_Cf_n_PE_378_WG"	-0.375835444553442
"TGL49_0326_Cf_n_PE_401_WG"	-0.572873358220389
"TGL49_0328_Cf_n_PE_382_WG"	-0.685085915471997
"TGL49_0329_Cf_n_PE_393_WG"	-0.66180606872541
"TGL49_0335_Cf_n_PE_397_WG"	-0.636095546825685
"TGL49_0337_Cf_n_PE_388_WG"	-0.651499329910428
"TGL49_0337_Cf_n_PE_401_WG"	-0.272712974946338
"TGL49_0346_Cf_n_PE_348_WG"	-0.0922459934119067
"TGL49_0346_Cf_n_PE_395_WG"	-0.625570291609034
"TGL49_0355_Cf_n_PE_396_WG"	-0.46255007682305
"TGL49_0355_Cf_n_PE_414_WG"	-0.473821098391918
"TGL49_0395_Pb_n_PE_388_WG"	-0.653817274502316
"TGL49_0395_Pb_n_PE_397_WG"	-0.700506655383656
"TGL49_0395_Pb_n_PE_421_WG"	-0.864519646680937
"TGL49_0448_Pb_n_PE_435_WG"	-0.721701522380024
"TGL49_0449_Pb_n_PE_406_WG"	-0.330116141644224
