"sample"	"score"
"TGL49_0221_Cf_n_PE_395_TS"	-0.61247647199965
"TGL49_0222_Cf_n_PE_378_TS"	-0.728686152197136
"TGL49_0223_Cf_n_PE_392_TS"	-0.535493611414621
"TGL49_0315_Cf_n_PE_395_TS"	-0.477562746493487
"TGL49_0316_Cf_n_PE_378_TS"	-0.664499911326431
"TGL49_0319_Cf_n_PE_361_TS"	-0.399170545428139
"TGL49_0319_Cf_n_PE_372_TS"	-0.565241294287697
"TGL49_0322_Cf_n_PE_360_TS"	-0.763475019950547
"TGL49_0322_Cf_n_PE_383_TS"	-0.755673828092723
"TGL49_0326_Cf_n_PE_373_TS"	-0.325718586105571
"TGL49_0326_Cf_n_PE_412_TS"	-0.524391205934421
"TGL49_0328_Cf_n_PE_384_TS"	-0.59442455503172
"TGL49_0329_Cf_n_PE_401_TS"	-0.550201881940602
"TGL49_0335_Cf_n_PE_396_TS"	-0.474864156997216
"TGL49_0337_Cf_n_PE_394_TS"	-0.284087025450406
"TGL49_0337_Cf_n_PE_405_TS"	-0.570225670957195
"TGL49_0346_Cf_n_PE_343_TS"	-0.156997592718807
"TGL49_0346_Cf_n_PE_417_TS"	-0.487084601531907
"TGL49_0355_Cf_n_PE_360_TS"	-0.410755617328544
"TGL49_0355_Cf_n_PE_395_TS"	-0.404409050606404
"TGL49_0395_Pb_n_PE_416_TS"	-0.596423025153985
"TGL49_0395_Pb_n_PE_433_TS"	-0.683951717387055
"TGL49_0395_Pb_n_PE_439_TS"	-0.668849689528464
"TGL49_0448_Pb_n_PE_479_TS"	-0.433903031528667
"TGL49_0449_Pb_n_PE_388_TS"	-0.303891175829484
