"length"	"TGL49_0196_Ct_T_PE_319_CM"	"TGL49_0197_Ct_T_PE_313_CM"	"TGL49_0198_Ct_T_PE_312_CM"	"TGL49_0199_Ct_T_PE_312_CM"	"TGL49_0200_Ct_T_PE_310_CM"	"TGL49_0201_Cf_R_PE_423_CM"	"TGL49_0201_Ct_T_PE_318_CM"	"TGL49_0255_Ct_n_PE_220318_CM"	"TGL49_0256_Ct_n_PE_220318_CM"	"TGL49_0257_Ct_n_PE_220318_CM"	"TGL49_0258_Ct_n_PE_220318_CM"	"TGL49_0259_Ct_n_PE_220318_CM"	"TGL49_0260_Ct_n_PE_220318_CM"	"TGL49_0261_Ct_n_PE_220318_CM"	"TGL49_0263_Ct_n_PE_220318_CM"	"TGL49_0264_Pb_U_PE_414_CM"	"TGL49_0265_Pb_U_PE_421_CM"	"TGL49_0266_Pb_U_PE_379_CM"	"TGL49_0267_Cf_R_PE_389_CM"	"TGL49_0267_Pb_U_PE_412_CM"	"TGL49_0268_Pb_U_PE_378_CM"	"TGL49_0301_Cf_R_PE_431_CM"	"TGL49_0302_Cf_R_PE_394_CM"	"TGL49_0303_Cf_R_PE_403_CM"	"TGL49_0304_Cf_R_PE_387_CM"	"TGL49_0305_Cf_R_PE_417_CM"	"TGL49_0306_Cf_R_PE_375_CM"	"TGL49_0307_Cf_R_PE_388_CM"
"30"	0.0348983690943976	0.0284112383390112	0.0192119892141735	0.0193962024798119	0.0218652869371457	0.00599937752380512	0	0.0170998846971823	0.0155077347715579	0.0127426569468659	9.78750893966598e-06	0.0118395885933373	0.0156912925985683	0.0110742579862418	0.0171354389692291	0.000344359370641281	0.00357982215789456	0	0.00047727074990658	0.00811770711421048	0	0.00996037159394507	4.35292167718892e-05	0	0	0.0114588473672474	0	0
"31"	0.0317393161173714	0.0251416366309164	0.0177203147860624	0.0176774608501613	0.020893893009551	0.00545964113758044	0	0.0164248439316943	0.0149402208157982	0.0112441632000197	3.58875327787753e-05	0.0109003801740248	0.0145837948632792	0.010208862983888	0.015964792290451	0.000411617060219657	0.00320917620539469	0	0.000685913700685413	0.00708569320013554	0	0.0103683977402605	4.35292167718892e-05	0	0	0.00982618173797332	0	0
"32"	0.030841284236602	0.0246591988963654	0.0168165641553502	0.0167810378861572	0.019718531853065	0.00635524766856864	0	0.0165436648827624	0.0138514073957901	0.0118265737251097	0.000296887771169868	0.0117497326625602	0.014756188378678	0.0109303585863123	0.0157192707554723	0.000462732904299222	0.00391340351514444	0	0.000638969036760175	0.00788001294741188	0	0.0105882784968861	0.000245812047653021	0	0	0.011033700231119	0	0
"33"	0.0325948376132523	0.0254571646279214	0.0172927338424996	0.0173404058156958	0.0211870959010822	0.00651538923371223	0	0.0171722104934846	0.0150548327547464	0.0121881535927698	0.000404550369506194	0.0115229534086944	0.0150086839315348	0.0107504843364004	0.0160767501104012	0.000419687982969062	0.00409563777512354	0	0.000667657442492265	0.00893609715685883	3.32436392244026e-05	0.0107650898269561	0.00023300933683776	0	0	0.0107167266266683	0	4.14104304260874e-05
"34"	0.0355997904450577	0.0274280713918219	0.0188815857577841	0.0193938120185746	0.022051407033509	0.00653021715641071	0	0.0184809629980021	0.0156611668833757	0.0130144485252413	0.000391500357586639	0.0122011517433687	0.0164766408353848	0.0115519240498967	0.0166385033824323	0.000801711659774233	0.00458365494591503	0	0.000957149536697896	0.00905644863371889	4.70951555679037e-05	0.0116423460415343	0.000227888252511655	0	0	0.0114865196660487	0	3.03676489791307e-05
"35"	0.0369760641558227	0.0288479473783442	0.0200525744782231	0.0209021930593388	0.0229641603827975	0.00694836457650785	0	0.0183724743035486	0.0167074629711933	0.0134318427348892	0.00248602727067516	0.0126654073857168	0.016851030793069	0.0124153204494738	0.0159333655339737	0.000839375965938123	0.00501607522383155	0	0.00106407904897205	0.0090955628636984	0.000188380622271615	0.0126941467742586	0.000486503010979938	0	0	0.0123770645547437	0	0.000121470595916523
"36"	0.0376163768282056	0.0325862682124246	0.0221661848242437	0.0225826873091919	0.0246060965753724	0.00750886005451041	0	0.0199619197794297	0.0175411723980585	0.0137752222736402	0.0037828722051809	0.0138206979242788	0.0180525613549392	0.013038884515835	0.0173495337477305	0.0010680521105046	0.00539598732514391	0	0.0011344960448599	0.0107022550797801	0.00012189334382281	0.0129888323243753	0.000599166866154239	0	0	0.0127342887756326	0	0.000154598940257393
"37"	0.0425103848884934	0.0379433848572261	0.0251543925548246	0.025790686289708	0.0272296250569865	0.00791217955190907	0	0.0210898577931915	0.0179996201538514	0.014815067731978	0.00384485976179878	0.0147192572320492	0.0183276944401211	0.0142720224291198	0.0185398221493069	0.00164915854846176	0.00583458503560209	0	0.00186996244635529	0.0110151689196162	0.000185610319002915	0.0144010561530116	0.000727193974306854	0	5.8308419485205e-05	0.01295818282957	0	9.66243376608706e-05
"38"	0.0479145175674431	0.0454931924377359	0.030154174269894	0.0296465002655444	0.0314211516107024	0.0088670977736912	0	0.0233732865050207	0.0205820859395072	0.0163305484524727	0.00791972598367972	0.0174705602553654	0.0207917027662751	0.0165484309918936	0.0206630923838022	0.00171641623804014	0.00679517579583091	0	0.0021724947249846	0.0131935306507832	0.00051250610470954	0.016164635829864	0.00128027108152615	0	0.000198563806895563	0.0144851905906939	0	0.000251223277918263
"39"	0.057298685031578	0.0605745161206683	0.0349012945183127	0.0363134966564977	0.038715529633927	0.00938607506813801	0	0.0260114560272849	0.0226672837965005	0.0179430975938158	0.0100550341840168	0.0185745045477691	0.0231320753389614	0.0176676485469009	0.0227274374499026	0.00243203805515405	0.00700829721851834	0	0.00243851448722761	0.0145595199131447	0.000479262465485138	0.0184291809419148	0.00160289939407074	0	0.000600419130374679	0.0162612490410291	0	0.000309197880514786
